Date;Time;Pokemon;Trainer Region;Trainer Subregion;Pokemon Region;Level;Level Met;Gender;Type1;Type2;Nature;Pokeball;Held Item;Perfect IVs
12/13/16;18:16;Grubbin;United States;New York;;1;1;F;Bug;;Quirky;Poke;F;0
12/13/16;18:17;Exeggcute;United States;Florida;;43;43;M;Grass;Psychic;Sassy;Great;F;0
12/13/16;18:19;Salandit;Canada;;;22;20;M;Poison;Fire;Bashful;Poke;F;0
12/13/16;18:19;Cubone;United States;Pennsylvania;;16;16;F;Ground;;Impish;Great;F;0
12/13/16;18:21;Rowlet;Canada;;;1;1;M;Grass;Flying;Bashful;Poke;F;0
12/13/16;18:22;Salandit;Germany;;;18;18;M;Poison;Fire;Careful;Great;F;0
12/13/16;18:23;A.Grimer;United States;Delaware;;14;6;F;Poison;Dark;Lonely;Poke;F;0
12/13/16;19:59;Smeargle;United States;California;;1;1;M;Normal;;Adamant;Great;F;0
12/13/16;20:01;Gastly;United States;New York;;7;7;F;Ghost;Poison;Sassy;Quick;F;0
12/13/16;20:02;A.Raticate;United States;California;GER;40;40;M;Dark;Normal;Timid;Great;F;0
12/13/16;20:03;Trapinch;United States;North Carolina;;1;1;M;Ground;;Naive;Ultra;F;0
12/13/16;20:05;Trumbeak;United States;Illinois;;15;3;M;Normal;Flying;Relaxed;Poke;F;0
12/13/16;20:06;Machop;United States;Florida;;9;9;M;Fighting;;Brave;Poke;T;1
12/13/16;20:07;Comfey;Japan;;;20;20;F;Fairy;;Docile;Great;F;0
12/13/16;20:09;Wailmer;Japan;;JPN;12;12;M;Water;;Docile;Poke;F;1
12/13/16;20:10;Mudbray;United States;Texas;;13;13;M;Ground;;Calm;Ultra;F;1
12/13/16;20:11;Wingull;Belgium;;SPA;17;17;M;Water;Flying;Timid;Poke;F;0
12/13/16;20:12;Cubone;United States;Colorado;;1;1;M;Ground;;Brave;Luxury;F;3
12/13/16;20:14;Sandygast;United Kingdom;;;1;1;F;Ghost;Ground;Careful;Ultra;F;1
12/13/16;20:15;Mimikyu;United States;New Jersey;;1;1;M;Ghost;Fairy;Jolly;Timer;F;0
12/13/16;20:16;Abra;Japan;;JPN;1;1;M;Psychic;;Naive;Ultra;F;2
12/13/16;20:18;A.Geodude;United States;Florida;;1;1;F;Rock;Electric;Modest;Ultra;F;4
12/13/16;20:19;Shellder;South Korea;;KOR;1;1;F;Water;;Naughty;Heavy;F;5
12/13/16;20:20;Growlithe;United States;Washington;SPA;8;7;M;Fire;;Impish;Poke;F;0
12/13/16;20:21;Scyther;Canada;;CHS;1;1;M;Bug;Flying;Timid;Ultra;F;0
12/13/16;20:23;A.Diglett;United Kingdom;;;11;10;M;Ground;Steel;Serious;Great;F;1
12/13/16;20:24;Yungoos;Canada;;;11;11;F;Normal;;Careful;Great;F;0
12/13/16;20:25;Magnemite;Japan;;GER;8;8;N;Electric;Steel;Quirky;Poke;F;1
12/13/16;20:26;Pikipek;United States;California;SPA;3;3;F;Normal;Flying;Quiet;Poke;F;0
12/14/16;12:34;Sandygast;Italy;;;1;1;M;Ghost;Ground;Docile;Ultra;F;5
12/14/16;12:36;Cutiefly;France;;SPA;12;11;M;Bug;Fairy;Bashful;Poke;F;1
12/14/16;12:37;Mimikyu;Anguilla;;;1;1;F;Ghost;Fairy;Hardy;Ultra;F;0
12/14/16;12:39;Spinda;United States;Florida;;13;13;M;Normal;;Sassy;Great;F;0
12/14/16;12:40;Rockruff;Canada;;;1;1;M;Rock;;Calm;Heal;F;0
12/14/16;12:41;Spearow;United Kingdom;;FRE;52;52;M;Normal;Flying;Calm;Poke;F;0
12/14/16;12:42;Mimikyu;Spain;;;1;1;M;Ghost;Fairy;Impish;Premier;F;0
12/14/16;12:44;Wingull;Italy;;ITA;5;5;F;Water;Flying;Bold;Poke;T;0
12/14/16;12:45;Pichu;United States;Texas;JPN;35;5;M;Electric;;Mild;Poke;F;0
12/14/16;12:46;A.Sandshrew;France;;FRE;1;1;F;Ice;Steel;Adamant;Premier;F;4
12/14/16;12:48;Grubbin;United States;Ohio;KOR;5;5;F;Bug;;Quiet;Poke;F;0
12/14/16;12:49;Jangmo-o;Italy;;ITA;1;1;F;Dragon;;Quirky;Ultra;F;0
12/14/16;12:50;Rockruff;United States;Ohio;;1;1;M;Rock;;Hasty;Moon;F;4
12/14/16;12:51;Golbat;Austria;;;54;54;M;Poison;Flying;Calm;Quick;F;0
12/14/16;12:53;Snorunt;Germany;;ITA;43;43;F;Ice;;Bashful;Quick;F;1
12/14/16;12:54;Caterpie;United States;Texas;KOR;20;20;M;Bug;;Docile;Quick;F;0
12/14/16;12:55;A.Sandshrew;Belgium;;JPN;1;1;F;Ice;Steel;Adamant;Moon;F;2
12/14/16;12:57;Abra;United States;Texas;;1;1;F;Psychic;;Careful;Quick;F;1
12/14/16;12:59;Butterfree;Germany;;;15;12;M;Bug;Flying;Adamant;Net;F;0
12/14/16;13:00;Lillipup;Peru;;SPA;14;14;F;Normal;;Bashful;Great;F;0
12/14/16;13:02;Roggenrola;France;;GER;12;12;M;Rock;;Lax;Great;F;0
12/14/16;13:02;Magikarp;Germany;;JPN;11;11;M;Water;;Timid;Poke;F;0
12/14/16;13:04;Rowlet;Spain;;;1;1;M;Grass;Flying;Modest;Poke;F;1
12/14/16;13:06;Rufflet;Mexico;;ITA;12;12;M;Normal;Flying;Hardy;Great;F;0
12/14/16;13:07;Snorunt;United States;Oregon;GER;31;31;F;Ice;;Adamant;Poke;F;0
12/14/16;13:37;Abra;Canada;;;7;7;F;Psychic;;Adamant;Poke;F;0
12/14/16;13:38;Abra;Germany;;;1;1;M;Psychic;;Lax;Poke;F;1
12/14/16;13:39;Abra;Germany;;JPN;1;1;M;Psychic;;Jolly;Ultra;F;0
12/14/16;13:41;Gyarados;Canada;;;21;20;M;Water;Flying;Brave;Quick;F;0
12/14/16;13:42;Yungoos;United States;;;3;3;M;Normal;;Hardy;Poke;F;0
12/14/16;13:43;Pelipper;Spain;;CHT;30;30;F;Water;Flying;Careful;Poke;F;1
12/14/16;13:44;Magikarp;Japan;;;1;1;M;Water;;Naive;Dive;F;2
12/14/16;13:46;Popplio;Japan;;JPN;1;1;M;Water;;Careful;Poke;F;0
12/14/16;13:47;A.Rattata;Russia;;JPN;7;7;M;Dark;Normal;Calm;Poke;F;1
12/14/16;13:48;Abra;Netherlands;;JPN;5;5;M;Psychic;;Hasty;Nest;F;0
12/14/16;13:50;Abra;Switzerland;;;1;1;M;Psychic;;Naive;Quick;F;1
12/14/16;13:51;Machop;Spain;;;11;11;F;Fighting;;Rash;Great;F;0
12/14/16;13:53;A.Geodude;United States;Maryland;FRE;30;30;F;Rock;Electric;Relaxed;Repeat;F;0
12/14/16;13:54;Drowzee;Sweden;;;14;9;F;Psychic;;Sassy;Great;F;0
12/14/16;13:55;Mankey;France;;;12;12;F;Fighting;;Relaxed;Poke;F;0
12/14/16;14:02;Makuhita;United States;New York;;10;10;M;Fighting;;Careful;Poke;F;0
12/14/16;14:04;A.Meowth;United Kingdom;;FRE;37;7;F;Dark;;Sassy;Premier;F;0
12/14/16;14:05;Gumshoos;France;;SPA;23;3;F;Normal;;Timid;Poke;F;0
12/14/16;14:06;Jangmo-o;United States;Illinois;;1;1;F;Dragon;;Relaxed;Quick;F;5
12/14/16;14:07;Wingull;United Kingdom;;;8;8;M;Water;Flying;Lax;Poke;T;0
12/14/16;14:09;Boldore;France;;FRE;42;42;F;Rock;;Gentle;Repeat;F;1
12/14/16;14:11;Roggenrola;Germany;;JPN;10;10;M;Rock;;Impish;Poke;F;0
12/14/16;14:12;Abra;United States;Montana;;1;1;M;Psychic;;Modest;Premier;F;0
12/14/16;14:13;Luvdisc;United States;New York;SPA;13;13;F;Water;;Relaxed;Poke;F;0
12/14/16;14:15;Bagon;Portugal;;CHT;1;1;F;Dragon;;Mild;Quick;F;4
12/14/16;14:16;Salandit;Canada;;JPN;1;1;M;Poison;Fire;Timid;Timer;F;6
12/14/16;15:57;Salandit;United Kingdom;;;1;1;M;Poison;Fire;Timid;Poke;F;2
12/14/16;15:58;Eevee;United States;New York;;1;1;M;Normal;;Docile;Poke;F;3
12/14/16;15:59;Ribombee;United States;DC;;57;57;M;Bug;Fairy;Relaxed;Ultra;F;0
12/14/16;16:01;Eevee;France;;;1;1;M;Normal;;Naive;Premier;F;2
12/14/16;16:02;Caterpie;Italy;;CHS;1;1;F;Bug;;Impish;Net;F;1
12/14/16;16:03;Shellos;United States;Pennsylvania;;1;1;F;Water;;Lax;Great;F;1
12/14/16;16:05;Cottonee;Japan;;JPN;13;9;M;Grass;Fairy;Naive;Poke;F;0
12/14/16;16:06;Mudbray;United States;Oklahoma;;26;26;F;Ground;;Hasty;Great;F;0
12/14/16;16:07;A.Meowth;Japan;;JPN;17;7;M;Dark;;Hasty;Poke;T;0
12/14/16;16:09;Roggenrola;Germany;;JPN;13;13;F;Rock;;Adamant;Poke;F;0
12/14/16;16:10;Staryu;United States;Virginia;;23;23;N;Water;;Quirky;Quick;F;0
12/14/16;16:12;Oricorio;United States;Texas;;11;11;F;Electric;Flying;Docile;Great;F;0
12/14/16;16:13;A.Sandshrew;Japan;;JPN;1;1;M;Ice;Steel;Modest;Poke;F;0
12/14/16;16:15;Fletchinder;United States;New Jersey;;17;16;F;Fire;Flying;Impish;Great;F;0
12/14/16;16:16;Spinarak;Spain;;;12;10;F;Bug;Poison;Docile;Great;F;0
12/14/16;16:17;A.Rattata;United States;North Carolina;;8;8;F;Dark;Normal;Naughty;Poke;F;0
12/14/16;16:18;Magikarp;United States;Tennessee;SPA;18;17;F;Water;;Docile;Net;F;0
12/14/16;16:19;Goomy;Japan;;GER;31;31;F;Dragon;;Lonely;Dusk;F;2
12/14/16;16:21;Stufful;United States;Pennsylvania;;1;1;F;Normal;Fighting;Adamant;Nest;F;4
12/14/16;16:22;Mimikyu;Spain;;FRE;1;1;M;Ghost;Fairy;Serious;Dusk;F;0
12/14/16;16:24;Salandit;United States;;GER;1;1;M;Poison;Fire;Timid;Great;F;4
12/14/16;16:25;A.Rattata;United States;Vermont;;5;5;F;Dark;Normal;Impish;Ultra;F;0
12/14/16;16:26;Finneon;United States;;;14;14;F;Water;;Jolly;Poke;F;1
12/14/16;16:28;Abra;Ireland;;GER;1;1;M;Psychic;;Naive;Quick;F;0
12/14/16;16:29;Luvdisc;United States;Missouri;;13;13;M;Water;;Naughty;Great;F;0
12/14/16;16:30;Mimikyu;Austria;;;1;1;M;Ghost;Fairy;Naughty;Luxury;F;0
12/14/16;16:31;A.Rattata;United Kingdom;;;17;17;F;Dark;Normal;Bashful;Repeat;F;0
12/14/16;16:33;Popplio;Norway;;;1;1;M;Water;;Gentle;Poke;F;0
12/14/16;16:34;Wingull;Australia;;;40;40;M;Water;Flying;Quiet;Poke;F;0
12/14/16;16:35;Mudbray;Italy;;;14;14;F;Ground;;Hasty;Poke;F;0
12/15/16;09:13;Shellder;Japan;;JPN;1;1;F;Water;;Timid;Dive;F;0
12/15/16;09:15;Dewpider;Japan;;JPN;1;1;M;Water;Bug;Adamant;Luxury;F;0
12/15/16;09:16;Carvanha;Japan;;JPN;1;1;F;Water;Dark;Naughty;Dive;F;0
12/15/16;09:18;Bounsweet;Japan;;SPA;1;1;F;Grass;;Adamant;Poke;F;4
12/15/16;09:19;Beldum;United Kingdom;;JPN;1;1;N;Steel;Psychic;Adamant;Nest;F;3
12/15/16;09:20;Jangmo-o;United Kingdom;;;25;1;F;Dragon;;Lax;Great;F;0
12/15/16;09:22;Staryu;South Korea;;KOR;27;27;N;Water;;Timid;Poke;F;0
12/15/16;09:23;Scyther;Japan;;JPN;1;1;M;Bug;Flying;Naive;Ultra;F;1
12/15/16;09:24;Zubat;Japan;;;1;1;M;Poison;Flying;Jolly;Dusk;F;1
12/15/16;09:25;A.Diglett;Japan;;JPN;11;11;F;Ground;Steel;Impish;Heal;F;0
12/15/16;09:27;Rockruff;Japan;;JPN;1;1;F;Rock;;Jolly;Heal;F;3
12/15/16;09:28;Gible;Japan;;JPN;1;1;M;Dragon;Ground;Jolly;Beast;F;2
12/15/16;09:29;Crabrawler;United Kingdom;;;14;14;F;Fighting;;Hasty;Great;F;0
12/15/16;09:30;Yungoos;Japan;;;6;6;F;Normal;;Hardy;Poke;F;0
12/15/16;09:32;A.Meowth;Germany;;;15;10;F;Dark;;Brave;Poke;F;0
12/15/16;09:33;Riolu;Japan;;JPN;1;1;M;Fighting;;Timid;Beast;F;3
12/15/16;09:34;Marill;Germany;;JPN;1;1;F;Water;Fairy;Adamant;Ultra;F;2
12/15/16;09:36;Mudbray;France;;;11;11;F;Ground;;Docile;Ultra;F;0
12/15/16;09:37;Abra;Japan;;;1;1;M;Psychic;;Calm;Poke;F;0
12/15/16;09:38;Magnemite;Japan;;JPN;50;50;N;Electric;Steel;Modest;Poke;F;0
12/15/16;09:40;Mudbray;United States;New York;JPN;23;13;M;Ground;;Brave;Great;F;0
12/15/16;09:41;Mareanie;Japan;;JPN;1;1;F;Poison;Water;Relaxed;Timer;F;3
12/15/16;09:42;A.Grimer;Sweden;;;1;1;M;Poison;Dark;Adamant;Beast;F;3
12/15/16;09:43;Gastly;Netherlands;;JPN;1;1;F;Ghost;Poison;Timid;Dusk;F;4
12/15/16;09:45;Fletchling;Japan;;;19;19;F;Normal;Flying;Modest;Ultra;F;0
12/15/16;09:46;Magikarp;Japan;;JPN;1;1;M;Water;;Jolly;Net;F;1
12/15/16;09:48;Yungoos;United Kingdom;;;7;6;M;Normal;;Bashful;Poke;F;0
12/15/16;09:49;Ledyba;South Korea;;JPN;2;2;F;Bug;Flying;Gentle;Poke;F;0
12/15/16;09:50;Dewpider;Germany;;;1;1;F;Water;Bug;Naive;Great;F;4
12/15/16;09:51;Fomantis;Japan;;JPN;15;15;F;Grass;;Gentle;Poke;F;0
12/15/16;10:24;A.Rattata;Germany;;GER;5;5;F;Dark;Normal;Hasty;Poke;F;1
12/15/16;10:25;Deino;Japan;;JPN;1;1;F;Dark;Dragon;Modest;Beast;F;4
12/15/16;10:27;Pikipek;Japan;;FRE;13;13;M;Normal;Flying;Quirky;Great;F;1
12/15/16;10:28;Cubone;United States;Connecticut;;1;1;F;Ground;;Adamant;Quick;F;4
12/15/16;10:29;Rowlet;Japan;;;1;1;M;Grass;Flying;Bold;Poke;F;0
12/15/16;10:30;Phantump;Spain;;SPA;20;20;F;Ghost;Grass;Jolly;Quick;F;0
12/15/16;10:32;Abra;Japan;;JPN;1;1;M;Psychic;;Bold;Quick;F;0
12/15/16;10:34;Zubat;Japan;;JPN;11;11;M;Poison;Flying;Lonely;Poke;F;1
12/15/16;10:35;Eevee;Japan;;JPN;1;1;M;Normal;;Brave;Poke;F;2
12/15/16;10:36;A.Raticate;Japan;;JPN;26;26;F;Dark;Normal;Sassy;Poke;F;0
12/15/16;10:38;Dratini;United States;North Carolina;;1;1;F;Dragon;;Lonely;Dive;F;1
12/15/16;10:39;A.Geodude;United States;;SPA;27;27;F;Rock;Electric;Gentle;Dusk;F;0
12/15/16;10:40;Eevee;Japan;;JPN;1;1;M;Normal;;Timid;Timer;F;1
12/15/16;10:41;Abra;Spain;;JPN;5;5;F;Psychic;;Naive;Quick;F;0
12/15/16;10:43;Wimpod;United States;Missouri;;17;17;F;Bug;Water;Impish;Poke;F;0
12/15/16;10:44;Wingull;United Kingdom;;JPN;6;6;M;Water;Flying;Impish;Poke;F;0
12/15/16;10:45;Lillipup;France;;JPN;12;12;F;Normal;;Docile;Great;F;2
12/15/16;10:46;Glalie;Japan;;;48;45;F;Ice;;Mild;Heal;F;1
12/15/16;10:48;Bagon;France;;;1;1;M;Dragon;;Quiet;Poke;F;0
12/15/16;10:49;Pikipek;United States;Michigan;JPN;4;4;M;Normal;Flying;Mild;Poke;F;0
12/15/16;10:50;Mareanie;Japan;;JPN;1;1;M;Poison;Water;Bold;Dive;F;3
12/15/16;10:52;Stufful;Japan;;JPN;1;1;M;Normal;Fighting;Adamant;Premier;F;3
12/15/16;10:53;Gible;France;;;1;1;F;Dragon;Ground;Naughty;Dive;F;0
12/15/16;10:54;Comfey;Japan;;JPN;1;1;F;Fairy;;Calm;Heal;F;3
12/15/16;10:55;Caterpie;Spain;;GER;3;3;F;Bug;;Timid;Great;F;0
12/15/16;10:57;Dewpider;Germany;;GER;1;1;M;Water;Bug;Impish;Great;F;3
12/15/16;10:58;Wingull;Japan;;JPN;8;8;F;Water;Flying;Calm;Poke;F;0
12/15/16;10:59;Magnemite;Norway;;;6;6;N;Electric;Steel;Brave;Poke;F;0
12/15/16;11:01;A.Diglett;Germany;;JPN;21;21;M;Ground;Steel;Bold;Quick;F;1
12/15/16;11:02;Oricorio;Italy;;ITA;9;9;M;Electric;Flying;Rash;Poke;F;0
12/15/16;12:48;Staryu;Germany;;JPN;23;23;N;Water;;Bold;Poke;F;0
12/15/16;12:49;Barboach;United Kingdom;;JPN;15;15;M;Water;Ground;Bold;Net;F;0
12/15/16;12:50;Pikipek;Japan;;;3;3;M;Normal;Flying;Modest;Poke;F;0
12/15/16;12:51;Gible;United States;New York;;1;1;F;Dragon;Ground;Quirky;Beast;F;2
12/15/16;12:53;Abra;Italy;;JPN;1;1;M;Psychic;;Quiet;Poke;F;1
12/15/16;12:54;Mimikyu;Japan;;JPN;1;1;M;Ghost;Fairy;Jolly;Poke;F;3
12/15/16;12:55;Emolga;Peru;;;54;54;F;Electric;Flying;Lonely;Poke;F;2
12/15/16;12:56;Magikarp;Germany;;SPA;10;10;M;Water;;Impish;Poke;F;0
12/15/16;12:58;A.Grimer;Spain;;SPA;7;7;M;Poison;Dark;Rash;Poke;F;1
12/15/16;12:59;Fletchling;Poland;;GER;1;1;M;Normal;Flying;Docile;Great;F;0
12/15/16;13:00;Minior;New Zealand;;;28;28;N;Rock;Flying;Modest;Poke;F;0
12/15/16;13:02;Absol;United States;California;;1;1;M;Dark;;Serious;Great;F;3
12/15/16;13:03;Wailmer;Spain;;SPA;41;41;M;Water;;Hardy;Dusk;F;0
12/15/16;13:04;Cutiefly;Germany;;FRE;8;8;M;Bug;Fairy;Relaxed;Poke;F;0
12/15/16;13:06;Mankey;Spain;;SPA;1;1;M;Fighting;;Quiet;Great;F;0
12/15/16;13:07;Abra;Japan;;JPN;1;1;M;Psychic;;Brave;Quick;F;3
12/15/16;13:08;Cottonee;Canada;;;1;1;F;Grass;Fairy;Timid;Great;F;3
12/15/16;13:09;Gible;France;;JPN;1;1;M;Dragon;Ground;Jolly;Dusk;F;4
12/15/16;13:10;Wingull;France;;FRE;5;5;M;Water;Flying;Brave;Poke;T;0
12/15/16;13:11;Turtonator;United States;Michigan;;1;1;M;Fire;Dragon;Modest;Dusk;F;4
12/15/16;13:13;Magikarp;United States;Ohio;;33;33;M;Water;;Quirky;Poke;F;1
12/15/16;13:14;Litten;Japan;;JPN;1;1;M;Fire;;Adamant;Poke;F;3
12/15/16;13:15;Popplio;Japan;;JPN;1;1;M;Water;;Sassy;Poke;F;0
12/15/16;13:16;A.Meowth;Netherlands;;;8;8;F;Dark;;Bold;Poke;F;0
12/15/16;13:18;Fletchling;United Kingdom;;GER;1;1;M;Normal;Flying;Jolly;Poke;F;4
12/15/16;13:19;Dhelmise;Japan;;JPN;1;1;N;Ghost;Grass;Bashful;Quick;F;0
12/15/16;13:21;Litten;Japan;;;1;1;M;Fire;;Mild;Poke;F;0
12/15/16;13:22;Fomantis;Italy;;ITA;20;20;F;Grass;;Lax;Nest;F;2
12/15/16;13:23;Chinchou;United States;Texas;;19;15;F;Water;Electric;Docile;Heal;F;0
12/16/16;09:43;Zubat;Japan;;JPN;54;54;F;Poison;Flying;Naive;Poke;F;0
12/16/16;09:44;Wishiwashi;Japan;;JPN;1;1;F;Water;;Modest;Dive;F;2
12/16/16;09:45;Rockruff;Germany;;GER;10;10;M;Rock;;Calm;Ultra;F;0
12/16/16;09:47;Magikarp;Japan;;ITA;1;1;M;Water;;Calm;Poke;F;2
12/16/16;09:48;Beldum;Japan;;JPN;1;1;N;Steel;Psychic;Adamant;Great;F;5
12/16/16;09:49;Gigalith;Japan;;;43;43;M;Rock;;Hasty;Ultra;F;1
12/16/16;09:51;A.Grimer;Australia;;;1;1;F;Poison;Dark;Adamant;Timer;F;5
12/16/16;09:52;Metapod;Japan;;JPN;12;12;F;Bug;;Gentle;Poke;F;1
12/16/16;09:53;Pichu;Japan;;JPN;5;5;M;Electric;;Lax;Poke;F;0
12/16/16;09:54;Rufflet;Japan;;JPN;11;11;M;Normal;Flying;Hasty;Quick;F;0
12/16/16;09:56;Granbull;Canada;;JPN;41;41;F;Fairy;;Mild;Great;F;0
12/16/16;09:57;Psyduck;Japan;;;15;15;M;Water;;Timid;Great;F;0
12/16/16;09:58;Murkrow;Anguilla;;JPN;1;1;F;Dark;Flying;Hardy;Poke;F;2
12/16/16;09:59;Wishiwashi;Japan;;JPN;1;1;F;Water;;Naive;Great;F;1
12/16/16;10:01;Magikarp;Italy;;CHT;17;12;F;Water;;Modest;Poke;F;0
12/16/16;10:02;Magikarp;South Korea;;JPN;1;1;F;Water;;Impish;Poke;F;3
12/16/16;10:03;Mudbray;Japan;;CHS;1;1;M;Ground;;Naughty;Poke;F;0
12/16/16;10:04;Caterpie;Germany;;GER;2;2;F;Bug;;Timid;Poke;F;0
12/16/16;10:06;Bounsweet;Japan;;JPN;1;1;F;Grass;;Adamant;Poke;F;3
12/16/16;10:07;Grubbin;Japan;;JPN;1;1;F;Bug;;Modest;Poke;F;3
12/16/16;10:08;Lillipup;Japan;;;12;12;F;Normal;;Mild;Great;F;0
12/16/16;10:09;Salandit;Ireland;;JPN;1;1;M;Poison;Fire;Brave;Poke;F;5
12/16/16;10:11;Wimpod;Japan;;JPN;1;1;M;Bug;Water;Adamant;Heavy;F;4
12/16/16;10:12;Salandit;Chile;;SPA;1;1;M;Poison;Fire;Quiet;Luxury;F;0
12/16/16;10:13;Sneasel;Japan;;JPN;1;1;M;Dark;Ice;Quirky;Poke;F;1
12/16/16;10:15;Pikipek;Japan;;JPN;55;55;M;Normal;Flying;Jolly;Poke;F;0
12/16/16;10:16;Grubbin;Japan;;JPN;16;16;M;Bug;;Naive;Poke;F;0
12/16/16;10:17;Abra;United States;Alaska;JPN;1;1;F;Psychic;;Bold;Ultra;F;0
12/16/16;10:18;Ledyba;Japan;;JPN;14;3;M;Bug;Flying;Calm;Poke;F;1
12/16/16;10:20;Metapod;Netherlands;;;7;3;M;Bug;;Serious;Poke;F;0
12/16/16;10:36;Eevee;United Kingdom;;JPN;1;1;M;Normal;;Adamant;Love;F;3
12/16/16;13:09;Salandit;United States;Texas;;28;1;M;Poison;Fire;Hardy;Poke;F;0
12/16/16;13:10;Minior;Portugal;;;27;27;N;Rock;Flying;Timid;Ultra;F;1
12/16/16;13:12;Stufful;Japan;;;23;23;F;Normal;Fighting;Sassy;Premier;F;0
12/16/16;13:13;Miltank;Russia;;;15;15;F;Normal;;Sassy;Ultra;F;1
12/16/16;13:14;Popplio;United States;Massachusetts;;1;1;M;Water;;Bold;Poke;F;1
12/16/16;13:15;A.Meowth;Spain;;JPN;26;26;F;Dark;;Relaxed;Quick;F;0
12/16/16;13:17;Mimikyu;Italy;;;1;1;F;Ghost;Fairy;Lonely;Dusk;F;1
12/16/16;13:18;A.Meowth;Germany;;SPA;7;6;M;Dark;;Rash;Poke;F;0
12/16/16;13:20;Magnemite;United States;New York;;8;8;N;Electric;Steel;Naive;Poke;F;0
12/16/16;13:21;Golbat;Germany;;;29;29;F;Poison;Flying;Mild;Poke;F;0
12/16/16;13:22;Pikipek;United States;Mississippi;;3;3;M;Normal;Flying;Careful;Poke;F;0
12/16/16;13:23;Popplio;France;;GER;1;1;M;Water;;Jolly;Poke;F;0
12/16/16;13:24;Magikarp;Japan;;JPN;1;1;F;Water;;Jolly;Ultra;F;3
12/16/16;13:28;Salandit;Spain;;SPA;17;17;M;Poison;Fire;Quirky;Ultra;F;0
